phrase,type,category,article,verb_forms
einsetzen,word,verb,,"einsetzen, setzte ein, hat eingesetzt"
die Möglichkeit,word,noun,die,
beeinflussen,word,verb,,"beeinflussen, beeinflusste, hat beeinflusst"
der Vorteil,word,noun,der,
reduzieren,word,verb,,"reduzieren, reduzierte, hat reduziert"
die Entwicklung,word,noun,die,
verfolgen,word,verb,,"verfolgen, verfolgte, hat verfolgt"
das Konzept,word,noun,das,
zusammenfassen,word,verb,,"zusammenfassen, fasste zusammen, hat zusammengefasst"
die Bedeutung,word,noun,die,
erkennen,word,verb,,"erkennen, erkannte, hat erkannt"
die Wirkung,word,noun,die,
bewirken,word,verb,,"bewirken, bewirkte, hat bewirkt"
die Meinung,word,noun,die,
vertreten,word,verb,,"vertreten, vertrat, hat vertreten"
der Eindruck,word,noun,der,
vermitteln,word,verb,,"vermitteln, vermittelte, hat vermittelt"
die Auswirkung,word,noun,die,
widersprechen,word,verb,,"widersprechen, widersprach, hat widersprochen"
der Sachverhalt,word,noun,der,
anbieten,word,verb,,"anbieten, bot an, hat angeboten"
die Aussagekraft,word,noun,die,
widersprüchlich,word,adjective,,
sich ergeben aus,phrase,verb,,"sich ergeben aus, ergab sich, hat sich ergeben"
die Einhaltung,word,noun,die,
akzeptieren,word,verb,,"akzeptieren, akzeptierte, hat akzeptiert"
die Beurteilung,word,noun,die,
die Möglichkeit,word,noun,die,
die Lösung,word,noun,die,
ausreichend,word,adjective,,
ausnutzen,word,verb,,"ausnutzen, nutzte aus, hat ausgenutzt"
die Darstellung,word,noun,die,
sich beschränken auf,phrase,verb,,"sich beschränken auf, beschränkte sich, hat sich beschränkt"
der Bezug,word,noun,der,
bedeuten,word,verb,,"bedeuten, bedeutete, hat bedeutet"
beabsichtigen,word,verb,,"beabsichtigen, beabsichtigte, hat beabsichtigt"
die Entwicklung,word,noun,die,
der Fortschritt,word,noun,der,
der Umfang,word,noun,der,
die Bedeutung,word,noun,die,
ausführen,word,verb,,"ausführen, führte aus, hat ausgeführt"
die Verhandlung,word,noun,die,
die Eigenschaft,word,noun,die,
der Zusammenhang,word,noun,der,
die Voraussetzung,word,noun,die,
hervorragend,word,adjective,,
die Darstellung,word,noun,die,
der Auftrag,word,noun,der,
die Berücksichtigung,word,noun,die,
abhalten von,phrase,verb,,"abhalten von, hielt ab, hat abgehalten"
die Aufgabe,word,noun,die,
die Sichtweise,word,noun,die,
der Anspruch,word,noun,der,
einschätzen,word,verb,,"einschätzen, schätzte ein, hat eingeschätzt"
die Erkenntnis,word,noun,die,
beeinflussen,word,verb,,"beeinflussen, beeinflusste, hat beeinflusst"
die Überzeugung,word,noun,die,
einsetzen für,phrase,verb,,"einsetzen für, setzte ein, hat eingesetzt"
der Vorteil,word,noun,der,
der Nachteil,word,noun,der,
einbeziehen,word,verb,,"einbeziehen, bezog ein, hat einbezogen"
die Konsequenz,word,noun,die,
erfahren,word,verb,,"erfahren, erfuhr, hat erfahren"
die Frage,word,noun,die,
bevorzugen,word,verb,,"bevorzugen, bevorzugte, hat bevorzugt"
der Wert,word,noun,der,
klären,word,verb,,"klären, klärte, hat geklärt"
die Verantwortung,word,noun,die,
entscheiden,word,verb,,"entscheiden, entschied, hat entschieden"
die Vereinbarung,word,noun,die,
erweitern,word,verb,,"erweitern, erweiterte, hat erweitert"
die Herausforderung,word,noun,die,
bemerken,word,verb,,"bemerken, bemerkte, hat bemerkt"
die Auswahl,word,noun,die,
ermöglichen,word,verb,,"ermöglichen, ermöglichte, hat ermöglicht"
die Untersuchung,word,noun,die,
sich ergeben,phrase,verb,,"sich ergeben, ergab sich, hat sich ergeben"
die Begründung,word,noun,die,
ausdrücklich,word,adjective,,
die Maßnahme,word,noun,die,
verzichten auf,phrase,verb,,"verzichten auf, verzichtete, hat verzichtet"
die Zustimmung,word,noun,die,
beziehen auf,phrase,verb,,"beziehen auf, bezog, hat bezogen"
die Verpflichtung,word,noun,die,
sich anpassen an,phrase,verb,,"sich anpassen an, passte sich an, hat sich angepasst"
die Kritik,word,noun,die,
vermeiden,word,verb,,"vermeiden, vermied, hat vermieden"
die Überprüfung,word,noun,die,
erfordern,word,verb,,"erfordern, erforderte, hat erfordert"
das Ergebnis,word,noun,das,
nachweisen,word,verb,,"nachweisen, wies nach, hat nachgewiesen"
die Änderung,word,noun,die,
die Vereinbarung,word,noun,die,
belegen,word,verb,,"belegen, belegte, hat belegt"
die Darstellung,word,noun,die,
ausnutzen,word,verb,,"ausnutzen, nutzte aus, hat ausgenutzt"
die Beziehung,word,noun,die,
sich äußern,phrase,verb,,"sich äußern, äußerte sich, hat sich geäußert"
die Wirkung,word,noun,die,
die Analyse,word,noun,die,
die Verhandlung,word,noun,die,
feststellen,word,verb,,"feststellen, stellte fest, hat festgestellt"
die Verantwortung,word,noun,die,
die Absicht,word,noun,die,
einbeziehen,word,verb,,"einbeziehen, bezog ein, hat einbezogen"
die Fähigkeit,word,noun,die,
verantworten,word,verb,,"verantworten, verantwortete, hat verantwortet"
das Konzept,word,noun,das,
vorlegen,word,verb,,"vorlegen, legte vor, hat vorgelegt"
der Vorschlag,word,noun,der,
durchführen,word,verb,,"durchführen, führte durch, hat durchgeführt"
die Überzeugung,word,noun,die,
einen Beitrag leisten,phrase,verb,,"leisten, leistete, hat geleistet"
beurteilen,word,verb,,"beurteilen, beurteilte, hat beurteilt"
die Darstellung,word,noun,die,
verfolgen,word,verb,,"verfolgen, verfolgte, hat verfolgt"
die Forschung,word,noun,die,
sich ergeben aus,phrase,verb,,"ergab sich, hat sich ergeben"
die Grundlage,word,noun,die,
einhalten,word,verb,,"einhalten, hielt ein, hat eingehalten"
der Anspruch,word,noun,der,
die Unterstützung,word,noun,die,
umsetzen,word,verb,,"umsetzen, setzte um, hat umgesetzt"
einrichten,word,verb,,"einrichten, richtete ein, hat eingerichtet"
die Bewertung,word,noun,die,
entwickeln,word,verb,,"entwickeln, entwickelte, hat entwickelt"
der Beitrag,word,noun,der,
betrachten,word,verb,,"betrachten, betrachtete, hat betrachtet"
das Verständnis,word,noun,das,
die Förderung,word,noun,die,
fordern,word,verb,,"fordern, forderte, hat gefordert"
die Zusammenarbeit,word,noun,die,
wiedergeben,word,verb,,"wiedergeben, gab wieder, hat wiedergegeben"
die Aussage,word,noun,die,
fordern,word,verb,,"fordern, forderte, hat gefordert"
das Ergebnis,word,noun,das,
der Unterschied,word,noun,der,
beachten,word,verb,,"beachten, beachtete, hat beachtet"
die Absicherung,word,noun,die,
absichern,word,verb,,"absichern, sicherte ab, hat abgesichert"
das Erfordernis,word,noun,das,
erfordern,word,verb,,"erfordern, erforderte, hat erfordert"
die Einordnung,word,noun,die,
einordnen,word,verb,,"einordnen, ordnete ein, hat eingeordnet"
der Einwand,word,noun,der,
einwenden,word,verb,,"einwenden, wandte ein, hat eingewandt"
die Gegenmaßnahme,word,noun,die,
gegenmaßnahmen ergreifen,phrase,verb,,"ergreifen, ergriff, hat ergriffen"
die Einschränkung,word,noun,die,
einschränken,word,verb,,"einschränken, schränkte ein, hat eingeschränkt"
die Befürchtung,word,noun,die,
befürchten,word,verb,,"befürchten, befürchtete, hat befürchtet"
der Widerstand,word,noun,der,
widersprechen,word,verb,,"widersprechen, widersprach, hat widersprochen"
die Vereinbarkeit,word,noun,die,
vereinbaren,word,verb,,"vereinbaren, vereinbarte, hat vereinbart"
das Erbe,word,noun,das,
vererben,word,verb,,"vererben, vererbte, hat vererbt"
die Auflage,word,noun,die,
auflagen erfüllen,phrase,verb,,"erfüllen, erfüllte, hat erfüllt"
die Umgestaltung,word,noun,die,
umgestalten,word,verb,,"umgestalten, gestaltete um, hat umgestaltet"
die Beauftragung,word,noun,die,
beauftragen,word,verb,,"beauftragen, beauftragte, hat beauftragt"
das Gutachten,word,noun,das,
gutachten erstellen,phrase,verb,,"erstellen, erstellte, hat erstellt"
die Einschränkung,word,noun,die,
einschränken,word,verb,,"einschränken, schränkte ein, hat eingeschränkt"
die Verfügbarkeit,word,noun,die,
verfügbar sein,phrase,verb,,"war, ist gewesen"
die Umkehr,word,noun,die,
umkehren,word,verb,,"umkehren, kehrte um, ist umgekehrt"
die Überwachung,word,noun,die,
überwachen,word,verb,,"überwachen, überwachte, hat überwacht"
die Einhaltung,word,noun,die,
einhaltung gewährleisten,phrase,verb,,"gewährleisten, gewährleistete, hat gewährleistet"
die Rückmeldung,word,noun,die,
rückmelden,word,verb,,"rückmelden, meldete zurück, hat zurückgemeldet"
die Befragung,word,noun,die,
befragen,word,verb,,"befragen, befragte, hat befragt"
das Gutachten,word,noun,das,
gutachten erstellen,phrase,verb,,"erstellen, erstellte, hat erstellt"
die Einschätzung,word,noun,die,
einschätzen,word,verb,,"einschätzen, schätzte ein, hat eingeschätzt"
die Verlagerung,word,noun,die,
verlagern,word,verb,,"verlagern, verlagerte, hat verlagert"
die Entschädigung,word,noun,die,
entschädigen,word,verb,,"entschädigen, entschädigte, hat entschädigt"
die Übertragung,word,noun,die,
übertragen,word,verb,,"übertragen, übertrug, hat übertragen"
die Durchsetzung,word,noun,die,
durchsetzen,word,verb,,"durchsetzen, setzte durch, hat durchgesetzt"
die Abweichung,word,noun,die,
abweichen,word,verb,,"abweichen, wich ab, ist abgewichen"
die Umstellung,word,noun,die,
umstellen,word,verb,,"umstellen, stellte um, hat umgestellt"
die Ausschreibung,word,noun,die,
ausschreiben,word,verb,,"ausschreiben, schrieb aus, hat ausgeschrieben"
die Vergabe,word,noun,die,
vergeben,word,verb,,"vergeben, vergab, hat vergeben"
die Bewältigung,word,noun,die,
bewältigen,word,verb,,"bewältigen, bewältigte, hat bewältigt"
die Erfassung,word,noun,die,
erfassen,word,verb,,"erfassen, erfasste, hat erfasst"
das Verfahren,word,noun,das,
verfahren einleiten,phrase,verb,,"einleiten, leitete ein, hat eingeleitet"
die Zulassung,word,noun,die,
zulassen,word,verb,,"zulassen, ließ zu, hat zugelassen"
die Verschiebung,word,noun,die,
verschieben,word,verb,,"verschieben, verschob, hat verschoben"
die Veränderung,word,noun,die,
verändern,word,verb,,"verändern, veränderte, hat verändert"
die Überlegung,word,noun,die,
überlegen,word,verb,,"überlegen, überlegte, hat überlegt"
die Abwicklung,word,noun,die,
abwickeln,word,verb,,"abwickeln, wickelte ab, hat abgewickelt"
die Einhaltung,word,noun,die,
einhalten,word,verb,,"einhalten, hielt ein, hat eingehalten"
die Gestaltung,word,noun,die,
gestalten,word,verb,,"gestalten, gestaltete, hat gestaltet"
die Überprüfung,word,noun,die,
überprüfen,word,verb,,"überprüfen, überprüfte, hat überprüft"
die Verhandlung,word,noun,die,
verhandeln,word,verb,,"verhandeln, verhandelte, hat verhandelt"
die Abmachung,word,noun,die,
abmachen,word,verb,,"abmachen, machte ab, hat abgemacht"
die Vereinbarung,word,noun,die,
vereinbaren,word,verb,,"vereinbaren, vereinbarte, hat vereinbart"
die Anpassung,word,noun,die,
anpassen,word,verb,,"anpassen, passte an, hat angepasst"
die Beeinträchtigung,word,noun,die,
beeinträchtigen,word,verb,,"beeinträchtigen, beeinträchtigte, hat beeinträchtigt"
die Ausschluss,word,noun,der,
ausschließen,word,verb,,"ausschließen, schloss aus, hat ausgeschlossen"
die Ablehnung,word,noun,die,
ablehnen,word,verb,,"ablehnen, lehnte ab, hat abgelehnt"
die Unterstützung,word,noun,die,
unterstützen,word,verb,,"unterstützen, unterstützte, hat unterstützt"
die Beauftragung,word,noun,die,
beauftragen,word,verb,,"beauftragen, beauftragte, hat beauftragt"
die Ausführung,word,noun,die,
ausführen,word,verb,,"ausführen, führte aus, hat ausgeführt"
die Übernahme,word,noun,die,
übernehmen,word,verb,,"übernehmen, übernahm, hat übernommen"
die Ergänzung,word,noun,die,
ergänzen,word,verb,,"ergänzen, ergänzte, hat ergänzt"
die Erweiterung,word,noun,die,
erweitern,word,verb,,"erweitern, erweiterte, hat erweitert"
das Gutachten,word,noun,das,
gutachten erstellen,phrase,verb,,"erstellen, erstellte, hat erstellt"
die Abstimmung,word,noun,die,
abstimmen,word,verb,,"abstimmen, stimmte ab, hat abgestimmt"
die Übertragung,word,noun,die,
übertragen,word,verb,,"übertragen, übertrug, hat übertragen"
die Anpassung,word,noun,die,
anpassen,word,verb,,"anpassen, passte an, hat angepasst"
die Einleitung,word,noun,die,
einleiten,word,verb,,"einleiten, leitete ein, hat eingeleitet"
die Wahrnehmung,word,noun,die,
wahrnehmen,word,verb,,"wahrnehmen, nahm wahr, hat wahrgenommen"
das Verfahren,word,noun,das,
verfahren einleiten,phrase,verb,,"einleiten, leitete ein, hat eingeleitet"
die Aufhebung,word,noun,die,
aufheben,word,verb,,"aufheben, hob auf, hat aufgehoben"
die Nutzung,word,noun,die,
nutzen,word,verb,,"nutzen, nutzte, hat genutzt"
die Restriktion,word,noun,die,
restriktiv,word,adjective,,
die Diskrepanz,word,noun,die,
diskrepant,word,adjective,,
die Divergenz,word,noun,die,
divergieren,word,verb,,"divergieren, divergierte, ist divergiert"
die Exklusion,word,noun,die,
exkludieren,word,verb,,"exkludieren, exkludierte, hat exkludiert"
die Inklusion,word,noun,die,
inkludieren,word,verb,,"inkludieren, inkludierte, hat inkludiert"
die Ambivalenz,word,noun,die,
ambivalent,word,adjective,,
die Diskursanalyse,word,noun,die,
diskursanalysieren,word,verb,,"diskursanalysieren, analysierte, hat analysiert"
die Prägnanz,word,noun,die,
prägnant,word,adjective,,
die Implikation,word,noun,die,
implizieren,word,verb,,"implizieren, implizierte, hat impliziert"
die Konnotation,word,noun,die,
konnotieren,word,verb,,"konnotieren, konnotierte, hat konnotiert"
die Legitimation,word,noun,die,
legitimieren,word,verb,,"legitimieren, legitimierte, hat legitimiert"
die Reziprozität,word,noun,die,
reziprok,word,adjective,,
die Redundanz,word,noun,die,
redundant,word,adjective,,
die Subversion,word,noun,die,
subvertieren,word,verb,,"subvertieren, subvertierte, hat subvertiert"
die Transzendenz,word,noun,die,
transzendent,word,adjective,,
die Ambiguität,word,noun,die,
ambig,word,adjective,,
die Determinante,word,noun,die,
determinieren,word,verb,,"determinieren, determinierte, hat determiniert"
die Entropie,word,noun,die,
entropisch,word,adjective,,
die Evidenz,word,noun,die,
evident,word,adjective,,
die Fokussierung,word,noun,die,
fokussieren,word,verb,,"fokussieren, fokussierte, hat fokussiert"
die Hegemonie,word,noun,die,
hegemonial,word,adjective,,
die Homogenität,word,noun,die,
homogen,word,adjective,,
die Hypothese,word,noun,die,
hypothetisch,word,adjective,,
die Indikation,word,noun,die,
indizieren,word,verb,,"indizieren, indizierte, hat indiziert"
die Innovation,word,noun,die,
innovativ,word,adjective,,
die Integration,word,noun,die,
integrieren,word,verb,,"integrieren, integrierte, hat integriert"
die Intervention,word,noun,die,
intervenieren,word,verb,,"intervenieren, intervenierte, hat interveniert"
die Korrelation,word,noun,die,
korrelieren,word,verb,,"korrelieren, korrelierte, hat korreliert"
die Legitimität,word,noun,die,
legitim,word,adjective,,
die Mobilisierung,word,noun,die,
mobilisieren,word,verb,,"mobilisieren, mobilisierte, hat mobilisiert"
die Normativität,word,noun,die,
normativ,word,adjective,,
die Objektivität,word,noun,die,
objektiv,word,adjective,,
die Operationalisierung,word,noun,die,
operationalisieren,word,verb,,"operationalisieren, operationalisierte, hat operationalisiert"
die Paradoxie,word,noun,die,
paradox,word,adjective,,
die Partizipation,word,noun,die,
partizipieren,word,verb,,"partizipieren, partizipierte, hat partizipiert"
die Pluralität,word,noun,die,
pluralistisch,word,adjective,,
die Postulation,word,noun,die,
postulieren,word,verb,,"postulieren, postulierte, hat postuliert"
die Präferenz,word,noun,die,
präferieren,word,verb,,"präferieren, bevorzugte, hat bevorzugt"
die Prozedur,word,noun,die,
prozedural,word,adjective,,
die Rationalität,word,noun,die,
rational,word,adjective,,
die Reduktion,word,noun,die,
reduzieren,word,verb,,"reduzieren, reduzierte, hat reduziert"
die Relevanz,word,noun,die,
relevant,word,adjective,,
die Repräsentation,word,noun,die,
repräsentieren,word,verb,,"repräsentieren, repräsentierte, hat repräsentiert"
die Rezession,word,noun,die,
rezessiv,word,adjective,,
die Sanktion,word,noun,die,
sanktionieren,word,verb,,"sanktionieren, sanktionierte, hat sanktioniert"
die Sequenz,word,noun,die,
sequenziell,word,adjective,,
die Spezifikation,word,noun,die,
spezifizieren,word,verb,,"spezifizieren, spezifizierte, hat spezifiziert"
die Subjektivität,word,noun,die,
subjektiv,word,adjective,,
die Synthese,word,noun,die,
synthetisieren,word,verb,,"synthetisieren, synthetisierte, hat synthetisiert"
die Transformation,word,noun,die,
transformieren,word,verb,,"transformieren, transformierte, hat transformiert"
die Validität,word,noun,die,
valide,word,adjective,,
die Variabilität,word,noun,die,
variabel,word,adjective,,
die Verzerrung,word,noun,die,
verzerren,word,verb,,"verzerren, verzerrte, hat verzerrt"
die Volatilität,word,noun,die,
volatil,word,adjective,,
das Paradoxon,word,noun,das,
paradox,word,adjective,,
die Affinität,word,noun,die,
affin,word,adjective,,
die Diskrepanz,word,noun,die,
diskrepant,word,adjective,,
die Dissonanz,word,noun,die,
dissonant,word,adjective,,
die Divergenz,word,noun,die,
divergent,word,adjective,,
die Euphorie,word,noun,die,
euphorisch,word,adjective,,
die Faszination,word,noun,die,
faszinieren,word,verb,,"faszinieren, faszinierte, hat fasziniert"
die Fehlschätzung,word,noun,die,
fehlschätzen,word,verb,,"fehlschätzen, fehlschätzte, hat fehlschätzt"
die Flexibilität,word,noun,die,
flexibel,word,adjective,,
die Formalität,word,noun,die,
formal,word,adjective,,
die Frustration,word,noun,die,
frustrieren,word,verb,,"frustrieren, frustrierte, hat frustriert"
die Generation,word,noun,die,
generieren,word,verb,,"generieren, generierte, hat generiert"
die Häufigkeit,word,noun,die,
häufig,word,adjective,,
die Ideologie,word,noun,die,
ideologisch,word,adjective,,
die Illusion,word,noun,die,
illusionsreich,word,adjective,,
die Implosion,word,noun,die,
implodieren,word,verb,,"implodieren, implodierte, ist implodiert"
die Individualität,word,noun,die,
individuell,word,adjective,,
die Inflation,word,noun,die,
inflationär,word,adjective,,
die Inspiration,word,noun,die,
inspirieren,word,verb,,"inspirieren, inspirierte, hat inspiriert"
die Intensität,word,noun,die,
intensiv,word,adjective,,
die Intervention,word,noun,die,
intervenieren,word,verb,,"intervenieren, intervenierte, hat interveniert"
die Isolation,word,noun,die,
isolieren,word,verb,,"isolieren, isolierte, hat isoliert"
die Kooperation,word,noun,die,
kooperieren,word,verb,,"kooperieren, kooperierte, hat kooperiert"
die Korrelation,word,noun,die,
korrelieren,word,verb,,"korrelieren, korrelierte, hat korreliert"
die Legitimität,word,noun,die,
legitim,word,adjective,,
die Manipulation,word,noun,die,
manipulieren,word,verb,,"manipulieren, manipulierte, hat manipuliert"
die Mobilisierung,word,noun,die,
mobilisieren,word,verb,,"mobilisieren, mobilisierte, hat mobilisiert"
die Motivation,word,noun,die,
motivieren,word,verb,,"motivieren, motivierte, hat motiviert"
die Multikulturalität,word,noun,die,
multikulturell,word,adjective,,
die Nachhaltigkeit,word,noun,die,
nachhaltig,word,adjective,,
die Neutralität,word,noun,die,
neutral,word,adjective,,
die Opposition,word,noun,die,
opponieren,word,verb,,"opponieren, opponierte, hat opponiert"
die Optimierung,word,noun,die,
optimieren,word,verb,,"optimieren, optimierte, hat optimiert"
die Organisation,word,noun,die,
organisieren,word,verb,,"organisieren, organisierte, hat organisiert"
die Perspektive,word,noun,die,
perspektivisch,word,adjective,,
die Polarisation,word,noun,die,
polarisieren,word,verb,,"polarisieren, polarisierte, hat polarisiert"
die Positionierung,word,noun,die,
positionieren,word,verb,,"positionieren, positionierte, hat positioniert"
die Priorität,word,noun,die,
priorisieren,word,verb,,"priorisieren, priorisierte, hat priorisiert"
die Produktivität,word,noun,die,
produktiv,word,adjective,,
die Rationalität,word,noun,die,
rational,word,adjective,,
die Reform,word,noun,die,
reformieren,word,verb,,"reformieren, reformierte, hat reformiert"
die Relevanz,word,noun,die,
relevant,word,adjective,,
die Resilienz,word,noun,die,
resilient,word,adjective,,
die Restrukturierung,word,noun,die,
restrukturieren,word,verb,,"restrukturieren, restrukturierte, hat restrukturiert"
die Revolution,word,noun,die,
revolutionär,word,adjective,,
die Solidarität,word,noun,die,
solidarisch,word,adjective,,
die Spezialisierung,word,noun,die,
spezialisieren,word,verb,,"spezialisieren, spezialisierte, hat spezialisiert"
die Stabilität,word,noun,die,
stabil,word,adjective,,
die Subvention,word,noun,die,
subventionieren,word,verb,,"subventionieren, subventionierte, hat subventioniert"
die Symbiose,word,noun,die,
symbiotisch,word,adjective,,
die Synthese,word,noun,die,
synthetisieren,word,verb,,"synthetisieren, synthetisierte, hat synthetisiert"
die Toleranz,word,noun,die,
tolerant,word,adjective,,
die Transformation,word,noun,die,
transformieren,word,verb,,"transformieren, transformierte, hat transformiert"
die Transparenz,word,noun,die,
transparent,word,adjective,,
die Umstrukturierung,word,noun,die,
umstrukturieren,word,verb,,"umstrukturieren, umstrukturierte, hat umstrukturiert"
die Validität,word,noun,die,
valide,word,adjective,,
die Variabilität,word,noun,die,
variabel,word,adjective,,
die Vernetzung,word,noun,die,
vernetzen,word,verb,,"vernetzen, vernetzte, hat vernetzt"
die Vision,word,noun,die,
visionär,word,adjective,,
die Volatilität,word,noun,die,
volatil,word,adjective,,
die Vulnerabilität,word,noun,die,
vulnerabel,word,adjective,,
die Ambivalenz,word,noun,die,
ambivalent,word,adjective,,
die Analyse,word,noun,die,
analysieren,word,verb,,"analysieren, analysierte, hat analysiert"
die Aneignung,word,noun,die,
aneignen,word,verb,,"aneignen, eignete an, hat angeeignet"
die Anomalie,word,noun,die,
anomal,word,adjective,,
die Antizipation,word,noun,die,
antizipieren,word,verb,,"antizipieren, antizipierte, hat antizipiert"
die Applikation,word,noun,die,
applizieren,word,verb,,"applizieren, applizierte, hat appliziert"
die Argumentation,word,noun,die,
argumentieren,word,verb,,"argumentieren, argumentierte, hat argumentiert"
die Assoziation,word,noun,die,
assoziieren,word,verb,,"assoziieren, assoziierte, hat assoziiert"
die Authentizität,word,noun,die,
authentisch,word,adjective,,
die Aversion,word,noun,die,
aversionell,word,adjective,,
die Charakteristik,word,noun,die,
charakteristisch,word,adjective,,
die Dekonstruktion,word,noun,die,
dekonstruieren,word,verb,,"dekonstruieren, dekonstruierte, hat dekonstruiniert"
die Demografie,word,noun,die,
demografisch,word,adjective,,
die Determinante,word,noun,die,
determinieren,word,verb,,"determinieren, determinierte, hat determiniert"
die Dichotomie,word,noun,die,
dichotom,word,adjective,,
die Disparität,word,noun,die,
disparat,word,adjective,,
die Divergenz,word,noun,die,
divergent,word,adjective,,
